"year","month","time","sunspots","sd","no","final","ts"
1749,1,"1749-1-15 00:00:00",96.7,-1,-1,1,1749.04
1749,2,"1749-2-15 00:00:00",104.3,-1,-1,1,1749.12
1749,3,"1749-3-15 00:00:00",116.7,-1,-1,1,1749.21
1749,4,"1749-4-15 00:00:00",92.8,-1,-1,1,1749.29
1749,5,"1749-5-15 00:00:00",141.7,-1,-1,1,1749.38
1749,6,"1749-6-15 00:00:00",139.2,-1,-1,1,1749.46
1749,7,"1749-7-15 00:00:00",158,-1,-1,1,1749.54
1749,8,"1749-8-15 00:00:00",110.5,-1,-1,1,1749.62
1749,9,"1749-9-15 00:00:00",126.5,-1,-1,1,1749.71
1749,10,"1749-10-15 00:00:00",125.8,-1,-1,1,1749.79
1749,11,"1749-11-15 00:00:00",264.3,-1,-1,1,1749.88
1749,12,"1749-12-15 00:00:00",142,-1,-1,1,1749.96
1750,1,"1750-1-15 00:00:00",122.2,-1,-1,1,1750.04
1750,2,"1750-2-15 00:00:00",126.5,-1,-1,1,1750.12
1750,3,"1750-3-15 00:00:00",148.7,-1,-1,1,1750.21
1750,4,"1750-4-15 00:00:00",147.2,-1,-1,1,1750.29
1750,5,"1750-5-15 00:00:00",150,-1,-1,1,1750.38
1750,6,"1750-6-15 00:00:00",166.7,-1,-1,1,1750.46
1750,7,"1750-7-15 00:00:00",142.3,-1,-1,1,1750.54
1750,8,"1750-8-15 00:00:00",171.7,-1,-1,1,1750.62
1750,9,"1750-9-15 00:00:00",152,-1,-1,1,1750.71
1750,10,"1750-10-15 00:00:00",109.5,-1,-1,1,1750.79
1750,11,"1750-11-15 00:00:00",105.5,-1,-1,1,1750.88
1750,12,"1750-12-15 00:00:00",125.7,-1,-1,1,1750.96
1751,1,"1751-1-15 00:00:00",116.7,-1,-1,1,1751.04
1751,2,"1751-2-15 00:00:00",72.5,-1,-1,1,1751.12
1751,3,"1751-3-15 00:00:00",75.5,-1,-1,1,1751.21
1751,4,"1751-4-15 00:00:00",94,-1,-1,1,1751.29
1751,5,"1751-5-15 00:00:00",101.2,-1,-1,1,1751.38
1751,6,"1751-6-15 00:00:00",84.5,-1,-1,1,1751.46
1751,7,"1751-7-15 00:00:00",110.5,-1,-1,1,1751.54
1751,8,"1751-8-15 00:00:00",99.7,-1,-1,1,1751.62
1751,9,"1751-9-15 00:00:00",39.2,-1,-1,1,1751.71
1751,10,"1751-10-15 00:00:00",38.7,-1,-1,1,1751.79
1751,11,"1751-11-15 00:00:00",47.5,-1,-1,1,1751.88
