"year","month","sunspots","sd","ts","time"
1749,1,58,24.1,1749.04,"1749-1-15 00:00:00"
1749,2,62.6,25.1,1749.12,"1749-2-15 00:00:00"
1749,3,70,26.6,1749.21,"1749-3-15 00:00:00"
1749,4,55.7,23.6,1749.29,"1749-4-15 00:00:00"
1749,5,85,29.4,1749.38,"1749-5-15 00:00:00"
1749,6,83.5,29.2,1749.46,"1749-6-15 00:00:00"
1749,7,94.8,31.1,1749.54,"1749-7-15 00:00:00"
1749,8,66.3,25.9,1749.62,"1749-8-15 00:00:00"
1749,9,75.9,27.7,1749.71,"1749-9-15 00:00:00"
1749,10,75.5,27.7,1749.79,"1749-10-15 00:00:00"
1749,11,158.6,40.6,1749.88,"1749-11-15 00:00:00"
1749,12,85.2,29.5,1749.96,"1749-12-15 00:00:00"
1750,1,73.3,27.3,1750.04,"1750-1-15 00:00:00"
1750,2,75.9,27.7,1750.12,"1750-2-15 00:00:00"
1750,3,89.2,30.2,1750.21,"1750-3-15 00:00:00"
1750,4,88.3,30,1750.29,"1750-4-15 00:00:00"
1750,5,90,30.3,1750.38,"1750-5-15 00:00:00"
1750,6,100,32,1750.46,"1750-6-15 00:00:00"
1750,7,85.4,29.5,1750.54,"1750-7-15 00:00:00"
1750,8,103,32.5,1750.62,"1750-8-15 00:00:00"
1750,9,91.2,30.5,1750.71,"1750-9-15 00:00:00"
1750,10,65.7,25.7,1750.79,"1750-10-15 00:00:00"
1750,11,63.3,25.3,1750.88,"1750-11-15 00:00:00"
1750,12,75.4,27.7,1750.96,"1750-12-15 00:00:00"
1751,1,70,26.6,1751.04,"1751-1-15 00:00:00"
1751,2,43.5,20.8,1751.12,"1751-2-15 00:00:00"
1751,3,45.3,21.2,1751.21,"1751-3-15 00:00:00"
1751,4,56.4,23.8,1751.29,"1751-4-15 00:00:00"
1751,5,60.7,24.7,1751.38,"1751-5-15 00:00:00"
1751,6,50.7,22.5,1751.46,"1751-6-15 00:00:00"
1751,7,66.3,25.9,1751.54,"1751-7-15 00:00:00"
1751,8,59.8,24.5,1751.62,"1751-8-15 00:00:00"
1751,9,23.5,15,1751.71,"1751-9-15 00:00:00"
1751,10,23.2,14.9,1751.79,"1751-10-15 00:00:00"
1751,11,28.5,16.6,1751.88,"1751-11-15 00:00:00"
1751,12,44,20.9,1751.96,"1751-12-15 00:00:00"
1752,1,35,18.5,1752.04,"1752-1-15 00:00:00"
1752,2,50,22.3,1752.12,"1752-2-15 00:00:00"
1752,3,71,26.8,1752.21,"1752-3-15 00:00:00"
